source,competition,season,stage,match_id,date,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,over_7_5,over_8_5,over_9_5,over_10_5
statsbomb,FIFA World Cup,2018,Group Stage,7568,2018-06-27,Switzerland,Costa Rica,2,2,6,3,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7530,2018-06-16,France,Australia,2,1,5,1,6,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7558,2018-06-25,Uruguay,Russia,3,0,4,2,6,0,0,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7583,2018-07-02,Brazil,Mexico,2,0,8,7,15,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7547,2018-06-21,Denmark,Australia,1,1,3,5,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7535,2018-06-17,Costa Rica,Serbia,0,1,5,4,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Quarter-finals,8649,2018-07-06,Uruguay,France,0,2,4,3,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Final,8658,2018-07-15,France,Croatia,4,2,2,6,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7582,2018-07-01,Spain,Russia,1,1,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7552,2018-06-23,Belgium,Tunisia,5,2,3,2,5,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7532,2018-06-16,Peru,Denmark,0,1,3,7,10,1,1,1,0
statsbomb,FIFA World Cup,2018,Group Stage,7560,2018-06-25,Spain,Morocco,2,2,7,1,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7533,2018-06-17,Brazil,Switzerland,1,1,7,2,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7564,2018-06-26,Nigeria,Argentina,1,2,3,5,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7579,2018-06-30,Uruguay,Portugal,2,1,2,9,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7577,2018-06-15,Morocco,Iran,0,1,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7525,2018-06-14,Russia,Saudi Arabia,5,0,6,2,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7566,2018-06-27,Mexico,Sweden,0,3,7,3,10,1,1,1,0
statsbomb,FIFA World Cup,2018,Quarter-finals,8651,2018-07-07,Sweden,England,0,2,1,6,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7567,2018-06-27,South Korea,Germany,2,0,3,8,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7541,2018-06-19,Colombia,Japan,1,2,3,6,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Semi-finals,8655,2018-07-10,France,Belgium,1,0,4,5,9,1,1,0,0
statsbomb,FIFA World Cup,2018,3rd Place Final,8657,2018-07-14,Belgium,England,2,0,4,5,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Quarter-finals,8652,2018-07-07,Russia,Croatia,2,2,6,8,14,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7563,2018-06-26,Denmark,France,0,0,4,2,6,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7556,2018-06-24,Japan,Senegal,2,2,2,5,7,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7559,2018-06-25,Saudi Arabia,Egypt,2,1,6,1,7,0,0,0,0
statsbomb,FIFA World Cup,1990,Round of 16,3793185,1990-06-24,Brazil,Argentina,0,1,11,4,15,1,1,1,1
statsbomb,FIFA World Cup,1986,Semi-finals,3889148,1986-06-25,Argentina,Belgium,2,0,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,1986,Semi-finals,3889149,1986-06-29,Argentina,Germany,3,2,8,6,14,1,1,1,1
statsbomb,FIFA World Cup,1986,Quarter-finals,3750191,1986-06-22,Argentina,England,2,1,4,6,10,1,1,1,0
statsbomb,FIFA World Cup,1974,1st Group Stage,3888718,1974-06-30,German DR,Netherlands,0,2,4,6,10,1,1,1,0
statsbomb,FIFA World Cup,1974,Final,3888720,1974-07-07,Netherlands,Germany,1,2,10,10,20,1,1,1,1
statsbomb,FIFA World Cup,1974,1st Group Stage,3888719,1974-07-03,Netherlands,Brazil,2,0,3,1,4,0,0,0,0
statsbomb,FIFA World Cup,1974,1st Group Stage,3888717,1974-06-26,Netherlands,Argentina,4,0,5,1,6,0,0,0,0
statsbomb,FIFA World Cup,1974,1st Group Stage,3888716,1974-06-19,Netherlands,Sweden,0,0,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,1974,1st Group Stage,3750180,1974-06-22,German DR,Germany,1,0,3,10,13,1,1,1,1
statsbomb,FIFA World Cup,1970,Group Stage,3888700,1970-06-07,Brazil,England,1,0,6,4,10,1,1,1,0
statsbomb,FIFA World Cup,1970,Quarter-finals,3889218,1970-06-14,Brazil,Peru,4,2,8,6,14,1,1,1,1
statsbomb,FIFA World Cup,1970,Group Stage,3889217,1970-06-09,Brazil,Romania,3,2,8,4,12,1,1,1,1
statsbomb,FIFA World Cup,1970,Final,3888702,1970-06-21,Brazil,Italy,4,1,4,6,10,1,1,1,0
statsbomb,FIFA World Cup,1970,Semi-finals,3888701,1970-06-17,Brazil,Uruguay,3,1,5,2,7,0,0,0,0
statsbomb,FIFA World Cup,1970,Group Stage,3888699,1970-06-03,Brazil,Czechoslovakia,4,1,3,6,9,1,1,0,0
statsbomb,FIFA World Cup,1962,Group Stage,3888854,1962-05-30,Brazil,Mexico,2,0,7,2,9,1,1,0,0
statsbomb,FIFA World Cup,1958,Final,3888705,1958-06-29,Brazil,Sweden,5,2,13,8,21,1,1,1,1
statsbomb,FIFA World Cup,1958,Semi-finals,3888704,1958-06-24,Brazil,France,5,2,8,5,13,1,1,1,1
